Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Lalić,2022-11-05 12:36:08,00:01:10,Autoplayed: user action: None; ,Memoirs of a Geisha_hook_primary_16x9,HOOK,Philips PHTV15AMT0 Smart TV,00:01:10,00:01:10,SE (Sweden)
Lalić,2022-11-05 12:35:23,00:00:06,Autoplayed: user action: None; ,Suits: Season 1_hook_primary_16x9,HOOK,Philips PHTV15AMT0 Smart TV,00:00:06,00:00:06,SE (Sweden)
Lalić,2022-11-05 12:35:13,00:00:06,Autoplayed: user action: None; ,Barbarer (Teaser): Barbarer,TEASER_TRAILER,Philips PHTV15AMT0 Smart TV,00:00:06,00:00:06,SE (Sweden)
Lalić,2022-11-05 12:35:01,00:00:08,Autoplayed: user action: None; ,Del 5 (Klipp 2): Återförenade,HOOK,Philips PHTV15AMT0 Smart TV,00:00:08,00:00:08,SE (Sweden)
Lalić,2022-11-05 12:34:10,00:00:40,Autoplayed: user action: None; ,Daddy's Home 2_hook_03_16x9,HOOK,Philips PHTV15AMT0 Smart TV,00:00:40,00:00:40,SE (Sweden)
Lalić,2022-11-05 12:32:39,00:01:15,Autoplayed: user action: None; ,Trailer: Enola Holmes 2,TRAILER,Philips PHTV15AMT0 Smart TV,00:01:15,Not latest view,SE (Sweden)
Lalić,2022-11-05 12:30:31,00:01:52,,På västfronten intet nytt,,Philips PHTV15AMT0 Smart TV,00:01:52,00:01:52,SE (Sweden)
Lalić,2022-11-05 12:29:43,00:00:41,Autoplayed: user action: None; ,På västfronten intet nytt (Klipp): På västfronten intet nytt,HOOK,Philips PHTV15AMT0 Smart TV,00:00:41,00:00:41,SE (Sweden)
Lalić,2022-10-19 20:59:16,01:30:05,,Hubie Halloween,,Philips PHTV15AMT0 Smart TV,01:30:05,01:30:05,SE (Sweden)
Lalić,2022-10-19 20:59:00,00:00:11,Autoplayed: user action: None; ,Hubie Halloween - Baseline Clip 3,HOOK,Philips PHTV15AMT0 Smart TV,00:00:11,00:00:11,SE (Sweden)
Lalić,2022-10-18 21:38:57,01:36:02,,The Man from Toronto,,Philips PHTV15AMT0 Smart TV,01:43:51,01:43:51,SE (Sweden)
Lalić,2022-10-18 21:38:45,00:00:06,Autoplayed: user action: None; ,The Man from Toronto (Klipp): The Man from Toronto,HOOK,Philips PHTV15AMT0 Smart TV,00:00:06,00:00:06,SE (Sweden)
Lalić,2022-10-18 21:38:21,00:00:08,Autoplayed: user action: None; ,Säsong 1 (Klipp): The Watcher,HOOK,Philips PHTV15AMT0 Smart TV,00:00:08,00:00:08,SE (Sweden)
Lalić,2022-10-14 11:55:14,00:01:07,Autoplayed: user action: None; ,Säsong 1 (Klipp): The Watcher,HOOK,Philips PHTV15AMT0 Smart TV,00:01:07,Not latest view,SE (Sweden)
Lalić,2022-10-13 20:44:56,00:19:56,,Minioner och mer 1,,Philips PHTV15AMT0 Smart TV,00:19:56,00:19:56,SE (Sweden)
Lalić,2022-10-12 23:06:14,00:23:52,,"Brooklyn Nine-Nine: Säsong 8: The Last Day, del 2 (Avsnitt 10)",,Philips PHTV15AMT0 Smart TV,00:24:38,00:24:38,SE (Sweden)
Lalić,2022-10-12 22:44:39,00:21:32,Autoplayed: user action: User_Interaction; ,"Brooklyn Nine-Nine: Säsong 8: The Last Day, del 1 (Avsnitt 9)",,Philips PHTV15AMT0 Smart TV,00:21:48,00:21:48,SE (Sweden)
Lalić,2022-10-12 22:22:50,00:21:46,,Brooklyn Nine-Nine: Säsong 8: Renewal (Avsnitt 8),,Philips PHTV15AMT0 Smart TV,00:21:46,00:21:46,SE (Sweden)
Lalić,2022-10-12 21:59:34,00:23:13,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 8: Game of Boyles (Avsnitt 7),,Philips PHTV15AMT0 Smart TV,00:23:23,00:23:23,SE (Sweden)
Lalić,2022-10-12 21:49:55,00:09:32,,Brooklyn Nine-Nine: Säsong 8: The Set Up (Avsnitt 6),,Philips PHTV15AMT0 Smart TV,00:21:43,00:21:43,SE (Sweden)
Lalić,2022-10-11 21:40:50,00:12:12,,Brooklyn Nine-Nine: Säsong 8: The Set Up (Avsnitt 6),,Philips PHTV15AMT0 Smart TV,00:12:12,Not latest view,SE (Sweden)
Lalić,2022-10-11 21:19:32,00:21:16,,Brooklyn Nine-Nine: Säsong 8: PB & J (Avsnitt 5),,Philips PHTV15AMT0 Smart TV,00:21:16,00:21:16,SE (Sweden)
Lalić,2022-10-11 20:58:13,00:21:15,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 8: Balancing (Avsnitt 4),,Philips PHTV15AMT0 Smart TV,00:21:31,00:21:31,SE (Sweden)
Lalić,2022-10-11 20:36:56,00:21:14,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 8: Blue Flu (Avsnitt 3),,Philips PHTV15AMT0 Smart TV,00:21:31,00:21:31,SE (Sweden)
Lalić,2022-10-11 20:15:37,00:21:16,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 8: The Lake House (Avsnitt 2),,Philips PHTV15AMT0 Smart TV,00:21:31,00:21:31,SE (Sweden)
Lalić,2022-10-11 19:54:05,00:21:29,,Brooklyn Nine-Nine: Säsong 8: The Good Ones (Avsnitt 1),,Philips PHTV15AMT0 Smart TV,00:21:46,00:21:46,SE (Sweden)
Lalić,2022-10-11 19:52:13,00:01:14,,Brooklyn Nine-Nine: Säsong 7: Lights Out (Avsnitt 13),,Philips PHTV15AMT0 Smart TV,00:18:31,00:18:31,SE (Sweden)
Lalić,2022-10-11 19:45:16,00:06:43,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 7: Lights Out (Avsnitt 13),,Philips PHTV15AMT0 Smart TV,00:21:19,Not latest view,SE (Sweden)
Lalić,2022-10-10 22:29:21,00:47:44,,Dahmer: Säsong 1: Blood On Their Hands (Avsnitt 5),,Philips PHTV15AMT0 Smart TV,00:47:54,00:47:54,SE (Sweden)
Lalić,2022-10-10 21:48:55,00:40:20,Autoplayed: user action: User_Interaction; ,Dahmer: Säsong 1: The Good Boy Box (Avsnitt 4),,Philips PHTV15AMT0 Smart TV,00:59:40,00:59:40,SE (Sweden)
Lalić,2022-10-09 20:51:35,00:19:16,,Dahmer: Säsong 1: The Good Boy Box (Avsnitt 4),,Philips PHTV15AMT0 Smart TV,00:19:21,Not latest view,SE (Sweden)
Lalić,2022-10-09 20:00:02,00:51:21,,Dahmer: Säsong 1: Doin' A Dahmer (Avsnitt 3),,Philips PHTV15AMT0 Smart TV,00:50:11,00:50:11,SE (Sweden)
Lalić,2022-10-09 19:11:10,00:48:50,,Dahmer: Säsong 1: Please Don't Go (Avsnitt 2),,Philips PHTV15AMT0 Smart TV,00:48:55,00:48:55,SE (Sweden)
Lalić,2022-10-09 18:24:47,00:46:19,,Dahmer: Säsong 1: Avsnitt 1 (Avsnitt 1),,Philips PHTV15AMT0 Smart TV,00:46:19,00:46:19,SE (Sweden)
Lalić,2022-10-08 00:00:55,00:14:36,,Brooklyn Nine-Nine: Säsong 7: Lights Out (Avsnitt 13),,Philips PHTV15AMT0 Smart TV,00:14:36,Not latest view,SE (Sweden)
Lalić,2022-10-07 23:39:22,00:21:30,,Brooklyn Nine-Nine: Säsong 7: Ransom (Avsnitt 12),,Philips PHTV15AMT0 Smart TV,00:21:30,00:21:30,SE (Sweden)
Lalić,2022-10-07 23:26:27,00:12:52,,Brooklyn Nine-Nine: Säsong 7: Valloweaster (Avsnitt 11),,Philips PHTV15AMT0 Smart TV,00:20:00,00:20:00,SE (Sweden)
Lalić,2022-10-07 22:17:33,00:07:09,,Brooklyn Nine-Nine: Säsong 7: Valloweaster (Avsnitt 11),,Philips PHTV15AMT0 Smart TV,00:07:09,Not latest view,SE (Sweden)
Lalić,2022-10-07 21:55:59,00:21:31,,Brooklyn Nine-Nine: Säsong 7: Admiral Peralta (Avsnitt 10),,Philips PHTV15AMT0 Smart TV,00:21:31,00:21:31,SE (Sweden)
Lalić,2022-10-07 21:34:26,00:21:29,,Brooklyn Nine-Nine: Säsong 7: Dillman (Avsnitt 9),,Philips PHTV15AMT0 Smart TV,00:21:29,00:21:29,SE (Sweden)
Lalić,2022-10-07 21:13:10,00:21:12,,Brooklyn Nine-Nine: Säsong 7: The Takeback (Avsnitt 8),,Philips PHTV15AMT0 Smart TV,00:21:30,00:21:30,SE (Sweden)
Lalić,2022-10-07 20:51:43,00:21:26,,Brooklyn Nine-Nine: Säsong 7: Ding Dong (Avsnitt 7),,Philips PHTV15AMT0 Smart TV,00:21:26,00:21:26,SE (Sweden)
Lalić,2022-10-07 20:30:10,00:21:27,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 7: Trying (Avsnitt 6),,Philips PHTV15AMT0 Smart TV,00:21:27,00:21:27,SE (Sweden)
Lalić,2022-10-07 20:08:32,00:21:30,,Brooklyn Nine-Nine: Säsong 7: Debbie (Avsnitt 5),,Philips PHTV15AMT0 Smart TV,00:21:30,00:21:30,SE (Sweden)
Lalić,2022-10-07 06:44:48,00:00:07,Autoplayed: user action: None; ,Dahmer (Klipp 12): Dahmer,HOOK,Apple iPhone 11,00:00:07,00:00:07,SE (Sweden)
Lalić,2022-10-06 22:26:56,00:21:15,,Brooklyn Nine-Nine: Säsong 7: The Jimmy Jab Games II (Avsnitt 4),,Philips PHTV15AMT0 Smart TV,00:21:15,00:21:15,SE (Sweden)
Lalić,2022-10-06 22:01:54,00:21:29,,Brooklyn Nine-Nine: Säsong 7: Pimemento (Avsnitt 3),,Philips PHTV15AMT0 Smart TV,00:21:30,00:21:30,SE (Sweden)
Lalić,2022-10-06 21:40:39,00:21:11,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 7: Captain Kim (Avsnitt 2),,Philips PHTV15AMT0 Smart TV,00:21:27,00:21:27,SE (Sweden)
Lalić,2022-10-06 21:19:09,00:21:28,,Brooklyn Nine-Nine: Säsong 7: Manhunter (Avsnitt 1),,Philips PHTV15AMT0 Smart TV,00:21:28,00:21:28,SE (Sweden)
Lalić,2022-10-06 20:57:37,00:21:29,,Brooklyn Nine-Nine: Säsong 6: The Suicide Squad (Avsnitt 18),,Philips PHTV15AMT0 Smart TV,00:21:29,00:21:29,SE (Sweden)
Lalić,2022-10-06 20:35:32,00:21:57,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 6: Sicko (Avsnitt 17),,Philips PHTV15AMT0 Smart TV,00:21:28,00:21:28,SE (Sweden)
Lalić,2022-10-06 20:29:17,00:06:11,,Brooklyn Nine-Nine: Säsong 6: Cinco de Mayo (Avsnitt 16),,Philips PHTV15AMT0 Smart TV,00:21:27,00:21:27,SE (Sweden)
Lalić,2022-10-06 20:13:43,00:15:17,,Brooklyn Nine-Nine: Säsong 6: Cinco de Mayo (Avsnitt 16),,Philips PHTV15AMT0 Smart TV,00:15:17,Not latest view,SE (Sweden)
Lalić,2022-10-06 20:12:38,00:00:48,,Brooklyn Nine-Nine: Säsong 6: Return of the King (Avsnitt 15),,Philips PHTV15AMT0 Smart TV,00:21:30,00:21:30,SE (Sweden)
Lalić,2022-10-01 00:11:55,00:20:42,,Brooklyn Nine-Nine: Säsong 6: Return of the King (Avsnitt 15),,Philips PHTV15AMT0 Smart TV,00:20:42,Not latest view,SE (Sweden)
Lalić,2022-09-30 23:51:14,00:20:38,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 6: Ticking Clocks (Avsnitt 14),,Philips PHTV15AMT0 Smart TV,00:20:50,00:20:50,SE (Sweden)
Lalić,2022-09-30 23:28:39,00:21:28,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 6: The Bimbo (Avsnitt 13),,Philips PHTV15AMT0 Smart TV,00:21:31,00:21:31,SE (Sweden)
Lalić,2022-09-30 23:19:50,00:08:45,,Brooklyn Nine-Nine: Säsong 6: Casecation (Avsnitt 12),,Philips PHTV15AMT0 Smart TV,00:21:31,00:21:31,SE (Sweden)
Lalić,2022-09-30 14:08:21,00:12:47,,Brooklyn Nine-Nine: Säsong 6: Casecation (Avsnitt 12),,Philips PHTV15AMT0 Smart TV,00:12:47,Not latest view,SE (Sweden)
Lalić,2022-09-30 13:47:04,00:21:13,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 6: The Therapist (Avsnitt 11),,Philips PHTV15AMT0 Smart TV,00:21:31,00:21:31,SE (Sweden)
Lalić,2022-09-30 13:33:58,00:13:00,,Brooklyn Nine-Nine: Säsong 6: Gintars (Avsnitt 10),,Philips PHTV15AMT0 Smart TV,00:21:31,00:21:31,SE (Sweden)
Lalić,2022-09-30 13:12:43,00:08:11,,Brooklyn Nine-Nine: Säsong 6: Gintars (Avsnitt 10),,Apple iPad 10.2 inch 9th Gen Wi-Fi/Cell iPad,00:08:32,Not latest view,SE (Sweden)
Lalić,2022-09-30 12:51:33,00:21:08,,Brooklyn Nine-Nine: Säsong 6: The Golden Child (Avsnitt 9),,Apple iPad 10.2 inch 9th Gen Wi-Fi/Cell iPad,00:21:29,00:21:29,SE (Sweden)
Lalić,2022-09-30 12:50:40,00:00:47,,"Brooklyn Nine-Nine: Säsong 6: He Said, She Said (Avsnitt 8)",,Apple iPad 10.2 inch 9th Gen Wi-Fi/Cell iPad,00:21:30,00:21:30,SE (Sweden)
Lalić,2022-09-29 20:00:43,00:20:42,,"Brooklyn Nine-Nine: Säsong 6: He Said, She Said (Avsnitt 8)",,Philips PHTV15AMT0 Smart TV,00:20:42,Not latest view,SE (Sweden)
Lalić,2022-09-29 19:39:11,00:21:30,,Brooklyn Nine-Nine: Säsong 6: The Honeypot (Avsnitt 7),,Philips PHTV15AMT0 Smart TV,00:21:30,00:21:30,SE (Sweden)
Lalić,2022-09-29 19:17:40,00:21:27,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 6: The Crime Scene (Avsnitt 6),,Philips PHTV15AMT0 Smart TV,00:21:27,00:21:27,SE (Sweden)
Lalić,2022-09-28 23:18:08,00:21:13,,Brooklyn Nine-Nine: Säsong 6: A Tale of Two Bandits (Avsnitt 5),,Philips PHTV15AMT0 Smart TV,00:21:30,00:21:30,SE (Sweden)
Lalić,2022-09-28 22:56:22,00:21:38,,Brooklyn Nine-Nine: Säsong 6: Four Movements (Avsnitt 4),,Philips PHTV15AMT0 Smart TV,00:21:28,00:21:28,SE (Sweden)
Lalić,2022-09-28 22:34:55,00:21:24,,Brooklyn Nine-Nine: Säsong 6: The Tattler (Avsnitt 3),,Philips PHTV15AMT0 Smart TV,00:21:26,00:21:26,SE (Sweden)
Lalić,2022-09-28 22:13:42,00:21:11,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 6: Hitchcock & Scully (Avsnitt 2),,Philips PHTV15AMT0 Smart TV,00:21:27,00:21:27,SE (Sweden)
Lalić,2022-09-28 21:52:20,00:21:15,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 6: Honeymoon (Avsnitt 1),,Philips PHTV15AMT0 Smart TV,00:21:31,00:21:31,SE (Sweden)
Lalić,2022-09-28 21:30:40,00:21:38,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 5: Jake & Amy (Avsnitt 22),,Philips PHTV15AMT0 Smart TV,00:21:52,00:21:52,SE (Sweden)
Lalić,2022-09-28 21:01:14,00:25:29,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 5: White Whale (Avsnitt 21),,Philips PHTV15AMT0 Smart TV,00:21:40,00:21:40,SE (Sweden)
Lalić,2022-09-28 20:46:59,00:14:07,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 5: Show Me Going (Avsnitt 20),,Philips PHTV15AMT0 Smart TV,00:21:15,00:21:15,SE (Sweden)
Lalić,2022-09-28 00:31:45,00:06:58,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 5: Show Me Going (Avsnitt 20),,Philips PHTV15AMT0 Smart TV,00:07:10,Not latest view,SE (Sweden)
Lalić,2022-09-28 00:10:20,00:21:22,,Brooklyn Nine-Nine: Säsong 5: Bachelor/ette Party (Avsnitt 19),,Philips PHTV15AMT0 Smart TV,00:21:39,00:21:39,SE (Sweden)
Lalić,2022-09-27 23:49:08,00:21:08,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 5: Gray Star Mutual (Avsnitt 18),,Philips PHTV15AMT0 Smart TV,00:21:25,00:21:25,SE (Sweden)
Lalić,2022-09-27 23:27:46,00:21:19,,Brooklyn Nine-Nine: Säsong 5: DFW (Avsnitt 17),,Philips PHTV15AMT0 Smart TV,00:21:36,00:21:36,SE (Sweden)
Lalić,2022-09-27 23:06:57,00:20:46,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 5: NutriBoom (Avsnitt 16),,Philips PHTV15AMT0 Smart TV,00:21:02,00:21:02,SE (Sweden)
Lalić,2022-09-27 22:37:10,00:21:22,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 5: The Puzzle Master (Avsnitt 15),,Philips PHTV15AMT0 Smart TV,00:21:36,00:21:36,SE (Sweden)
Lalić,2022-09-27 22:15:09,00:21:58,,Brooklyn Nine-Nine: Säsong 5: The Box (Avsnitt 14),,Philips PHTV15AMT0 Smart TV,00:21:58,00:21:58,SE (Sweden)
Lalić,2022-09-27 21:53:48,00:21:18,,Brooklyn Nine-Nine: Säsong 5: The Negotiation (Avsnitt 13),,Philips PHTV15AMT0 Smart TV,00:21:35,00:21:35,SE (Sweden)
Lalić,2022-09-27 21:32:26,00:21:19,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 5: Safe House (Avsnitt 12),,Philips PHTV15AMT0 Smart TV,00:21:36,00:21:36,SE (Sweden)
Lalić,2022-09-27 21:30:17,00:02:04,,Brooklyn Nine-Nine: Säsong 5: The Favor (Avsnitt 11),,Philips PHTV15AMT0 Smart TV,00:21:39,00:21:39,SE (Sweden)
Lalić,2022-09-27 13:17:48,00:19:35,,Brooklyn Nine-Nine: Säsong 5: The Favor (Avsnitt 11),,Philips PHTV15AMT0 Smart TV,00:19:35,Not latest view,SE (Sweden)
Lalić,2022-09-27 12:56:23,00:21:23,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 5: Game Night (Avsnitt 10),,Philips PHTV15AMT0 Smart TV,00:21:38,00:21:38,SE (Sweden)
Lalić,2022-09-27 12:34:59,00:21:21,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 5: 99 (Avsnitt 9),,Philips PHTV15AMT0 Smart TV,00:21:38,00:21:38,SE (Sweden)
Lalić,2022-09-27 12:04:03,00:20:14,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 5: Return to Skyfire (Avsnitt 8),,Philips PHTV15AMT0 Smart TV,00:21:39,00:21:39,SE (Sweden)
Lalić,2022-09-27 12:00:58,00:01:22,,Brooklyn Nine-Nine: Säsong 5: Return to Skyfire (Avsnitt 8),,Apple iPad 10.2 inch 9th Gen Wi-Fi/Cell iPad,00:01:24,Not latest view,SE (Sweden)
Lalić,2022-09-27 11:39:13,00:21:31,,Brooklyn Nine-Nine: Säsong 5: Two Turkeys (Avsnitt 7),,Apple iPad 10.2 inch 9th Gen Wi-Fi/Cell iPad,00:21:38,00:21:38,SE (Sweden)
Lalić,2022-09-27 11:17:10,00:22:00,,Brooklyn Nine-Nine: Säsong 5: The Venue (Avsnitt 6),,Apple iPad 10.2 inch 9th Gen Wi-Fi/Cell iPad,00:21:36,00:21:36,SE (Sweden)
Lalić,2022-09-27 10:55:48,00:21:20,,Brooklyn Nine-Nine: Säsong 5: Bad Beat (Avsnitt 5),,Apple iPad 10.2 inch 9th Gen Wi-Fi/Cell iPad,00:21:38,00:21:38,SE (Sweden)
Lalić,2022-09-27 10:41:38,00:14:08,,Brooklyn Nine-Nine: Säsong 5: HalloVeen (Avsnitt 4),,Apple iPad 10.2 inch 9th Gen Wi-Fi/Cell iPad,00:21:17,00:21:17,SE (Sweden)
Lalić,2022-09-26 06:31:46,00:06:51,,Brooklyn Nine-Nine: Säsong 5: HalloVeen (Avsnitt 4),,Apple iPhone 11,00:07:08,Not latest view,SE (Sweden)
Lalić,2022-09-25 22:50:45,00:00:15,,Brooklyn Nine-Nine: Säsong 5: HalloVeen (Avsnitt 4),,Philips PHTV15AMT0 Smart TV,00:00:15,Not latest view,SE (Sweden)
Lalić,2022-09-25 22:29:11,00:21:31,,Brooklyn Nine-Nine: Säsong 5: Kicks (Avsnitt 3),,Philips PHTV15AMT0 Smart TV,00:21:31,00:21:31,SE (Sweden)
Lalić,2022-09-25 22:07:12,00:21:51,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 5: The Big House: Del 2 (Avsnitt 2),,Philips PHTV15AMT0 Smart TV,00:21:53,00:21:53,SE (Sweden)
Lalić,2022-09-25 21:45:40,00:21:30,,Brooklyn Nine-Nine: Säsong 5: The Big House: Del 1 (Avsnitt 1),,Philips PHTV15AMT0 Smart TV,00:21:30,00:21:30,SE (Sweden)
Lalić,2022-09-25 21:24:31,00:21:06,,Brooklyn Nine-Nine: Säsong 4: Crime & Punishment (Avsnitt 22),,Philips PHTV15AMT0 Smart TV,00:21:06,00:21:06,SE (Sweden)
Lalić,2022-09-25 21:03:10,00:21:16,,Brooklyn Nine-Nine: Säsong 4: The Bank Job (Avsnitt 21),,Philips PHTV15AMT0 Smart TV,00:21:32,00:21:32,SE (Sweden)
Lalić,2022-09-25 20:41:52,00:21:16,,Brooklyn Nine-Nine: Säsong 4: The Slaughterhouse (Avsnitt 20),,Philips PHTV15AMT0 Smart TV,00:21:16,00:21:16,SE (Sweden)
Lalić,2022-09-25 20:20:08,00:21:41,,Brooklyn Nine-Nine: Säsong 4: Your Honor (Avsnitt 19),,Philips PHTV15AMT0 Smart TV,00:21:41,00:21:41,SE (Sweden)
Lalić,2022-09-25 20:01:32,00:18:29,,Brooklyn Nine-Nine: Säsong 4: Chasing Amy (Avsnitt 18),,Philips PHTV15AMT0 Smart TV,00:21:40,00:21:40,SE (Sweden)
Lalić,2022-09-25 16:26:38,00:02:55,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 4: Chasing Amy (Avsnitt 18),,Philips PHTV15AMT0 Smart TV,00:03:11,Not latest view,SE (Sweden)
Lalić,2022-09-25 16:04:53,00:21:42,,Brooklyn Nine-Nine: Säsong 4: Cop-Con (Avsnitt 17),,Philips PHTV15AMT0 Smart TV,00:21:42,00:21:42,SE (Sweden)
Lalić,2022-09-25 15:44:03,00:20:47,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 4: Moo Moo (Avsnitt 16),,Philips PHTV15AMT0 Smart TV,00:21:00,00:21:00,SE (Sweden)
Lalić,2022-09-25 15:17:40,00:21:38,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 4: The Last Ride (Avsnitt 15),,Philips PHTV15AMT0 Smart TV,00:21:39,00:21:39,SE (Sweden)
Lalić,2022-09-25 14:56:03,00:21:36,,Brooklyn Nine-Nine: Säsong 4: Serve & Protect (Avsnitt 14),,Philips PHTV15AMT0 Smart TV,00:21:36,00:21:36,SE (Sweden)
Lalić,2022-09-25 14:34:19,00:21:41,,Brooklyn Nine-Nine: Säsong 4: The Audit (Avsnitt 13),,Philips PHTV15AMT0 Smart TV,00:21:41,00:21:41,SE (Sweden)
Lalić,2022-09-25 14:18:01,00:16:14,Autoplayed: user action: User_Interaction; ,Brooklyn Nine-Nine: Säsong 4: The Fugitive: Del 2 (Avsnitt 12),,Philips PHTV15AMT0 Smart TV,00:21:41,00:21:41,SE (Sweden)
Lalić,2022-09-23 10:59:05,00:04:54,,Brooklyn Nine-Nine: Säsong 4: The Fugitive: Del 2 (Avsnitt 12),,Chrome PC (Cadmium),00:05:32,Not latest view,SE (Sweden)
Lalić,2022-09-23 06:33:58,00:00:22,,Brooklyn Nine-Nine: Säsong 4: The Fugitive: Del 2 (Avsnitt 12),,Apple iPhone 11,00:00:23,Not latest view,SE (Sweden)
Lalić,2022-09-22 20:06:20,00:20:16,,Brooklyn Nine-Nine: Säsong 4: The Fugitive: Del 1 (Avsnitt 11),,Philips PHTV15AMT0 Smart TV,00:20:16,00:20:16,SE (Sweden)
Lalić,2022-09-22 19:45:00,00:21:17,,Brooklyn Nine-Nine: Säsong 4: Captain Latvia (Avsnitt 10),,Philips PHTV15AMT0 Smart TV,00:21:17,00:21:17,SE (Sweden)
Lalić,2022-09-22 19:23:19,00:21:38,,Brooklyn Nine-Nine: Säsong 4: The Overmining (Avsnitt 9),,Philips PHTV15AMT0 Smart TV,00:21:38,00:21:38,SE (Sweden)
